slot_number,block_number,timestamp,builder,relays,value,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used
10495665,21284160,2024-11-28 05:33:23.000000 +00:00,Titan,{BLOXROUTE_MAXPROFIT},0.0370112445554882,0x61A07421709BDF433D9CF0ED2529D2F7C06A162428A8125674EA8205896FC656,0x2E0A70CC74994ED1164168837AFD025E94C6A96E78234A93FD23A556CF7C486C,0x807A81A9873359323966FEB80FCC52B6049888F885D58134BF52BF9825F89AABC723BB5BACD1D8F4DEA6322A6D166535,0x834D5299A90D98479855588FCF6D231FEC68811A1AD38402AE7E1EA4FC2A0BDADB4089A83EE817B055A5029C25D6C129,0x4675C7E5BAAFBFFBCA748158BECBA61EF3B0A263,30000000,14394520
10495670,21284164,2024-11-28 05:34:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0217761859277488,0xE41E2F77A768BCB4EA331F5D4F18F52DB264AFFF74E514AF9B43C4D56DBE0EAE,0xD4FCCB21E65597C8BC35D36C167E13E27EC1DCD0003CA2469E2C4793F30D0E9B,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xB5B74348083175E99D1B642B6C3545C2B4EF4D12A6BA75C65EE4751DAA6FF37C3DAF0982EE8A95201EDCE91E4B6AD5EE,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,12010724
10495679,21284172,2024-11-28 05:36:11.000000 +00:00,Titan,{BLOXROUTE_MAXPROFIT},0.0326416959479939,0x04211BDC1908D56136E602A59138F75CAD7E1AA19BF042170265B3BABCC22CD3,0xCE7E8666633FA76F89E85AD23A284F986B808E939E65402C15E3C4B7B4FB6761,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x8D62140A890BD9165E76E4B55ADC7D6364D51B3DC8A364DA62BE24124FA50335E1B47E39A9C794F2342B6CF904B2C8D1,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,15912936
10495682,21284174,2024-11-28 05:36:47.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT, BLOXROUTE_REGULATED,TITAN}",0.0823374147121339,0x6BB36F02B4C42ABBA7A69A16B2F92ABF3F1FFF7054B50C05A5CA59ACFADCA17A,0xDCFD25D24B86727F15828833AB79A2076F9533490135F60537C855776998AEDC,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x8F1741C53010F0ED593F2211758E2B0545E4140C08B024E434C319055ADF53847C04C3F0087BAF01C6B90B8C448345A2,0x2BF916F8169ED2A77324D3E168284FC252AE4087,30000000,26423704
10495718,21284209,2024-11-28 05:43:59.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0186815059070691,0x87C4232446F6BCD26DE54796E2EF538C8CFCCCE07781970F9693228A9712F9C9,0x79F9DBDEC0C0EAFD48CCF087863F6F47287DD69CD09671EA826179E06250D9B1,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x91392E93DA5CDAF35C20BF56483CC4DFA622080A240D0DAA6C4D9B341D88B61222A5981901469B2E73CC1349C2085891,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,21500055
10495749,21284239,2024-11-28 05:50:11.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0378834774703213,0x001FCE92C1D6008CFAA8F8CE5A34113D790B62FBF3E8E1883D4B6F631C308C33,0x0E2739234BED7348BF5C82B385DEEB152BF6874E7A96156B6FE5512DBA57BC4B,0x8527D16CF01EDCEA2CBB05E27F5F61B184578EA27C4015E4533E4CEBD6D53297BD004C14FE3F247A468361BF781E0069,0xAA014557AF365DBB20DEED1E362A9721377A57EF8C03DCBC8196DFFB2B1B960F52BA34AD6B1476D2F24894CF1390E980,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,29980202
10495752,21284241,2024-11-28 05:50:47.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0262230121835965,0x3BB8C1C6C33484FA2862C9459EFB015B70B63E4BADC6203C9DC647C72BB3F5EE,0xD8D7CF4DF585CFBA992F793C7C5B22E2269B60A7F328DBB0EB61094C863ABD67,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xAE20E0E6C2791D7E15FC209714000685A3B0A6FABB64DE7B04241B662E709CE70ED3FB09EF08F1D9B3212351D2DD3CF9,0xA27CEF8AF2B6575903B676E5644657FAE96F491F,30000000,11642146
10495762,21284250,2024-11-28 05:52:47.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,TITAN}",0.0287045725324818,0xF9CD6E3D688FB38D9DF8BFDC82411D6BCDDDFA13448AB21171F527034A939B3C,0xAFD832F81407CA285784892F40A9DAFBE58C0F7817CA19B46F16002DB85CAE8A,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xB85A0363D0AFB76CE04D0117A72976194E69F0707BCC5B75C5FF77FF57E74BDBA8C6322942FC73E0749658A877FA96D6,0x4675C7E5BAAFBFFBCA748158BECBA61EF3B0A263,30000000,11693651
10495775,21284262,2024-11-28 05:55:23.000000 +00:00,Titan,"{BLOXROUTE_REGULATED,TITAN}",0.0170804317043282,0xF5CDFC9DAC285121718CCF7888C0C022DE5DB83567AFD1F6B7050E3D20783746,0x288F4AF725ABB080732241C757C61B23EF0C3CF194C88B5DABF8CE5D50A2AA4D,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xB6E2DB2BB86CAEADBDFF334CC29B683D2F19A87E4167254B7CACF7AA836D45D5E8137BBE4023B9E684A856144D74E751,0xD6E4AA932147A3FE5311DA1B67D9E73DA06F9CEF,30000000,23642941
10495782,21284268,2024-11-28 05:56:47.000000 +00:00,Titan,{TITAN},0.0184011417562085,0x9E9C1CA8D0D5E2CA4880B482A4B4F2CFA00B433A61E62335FB4607EF5F3DA0E2,0x05DD923825E086582563D50AA950D384334B7944BFA8FD2CBB666C75CEE2AF5B,0x88857150299287CEDFBADEA1EE3FB7AC121F1E4E16BEF44B4A7BAD35432973C4009EFB90394FACCA3FDC0759BA70F93F,0x93124975AC02926D58FEA3DB611E359E7010A41F0B70EA3BD40DAC727C15A263994FB9705577B9C14CABCBC7A9A827DA,0x4675C7E5BAAFBFFBCA748158BECBA61EF3B0A263,30000000,13407859
10495839,21284324,2024-11-28 06:08:11.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0263845164168491,0x002893A103C3D40F426E5BB88435B65F2D19AFAA26F00772CF72BCA979F94BD0,0x90F8ADC5B254640C438DB2D3040A4693744D9DD413DC7D4F18553CA4691A6607,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xAAF7E0457E020CCF6C2186DCF687613638AB6F9E7CAC78D87508B123818320A6A02459A938994D7B0985DF4A8199563D,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,23806981
10495891,21284374,2024-11-28 06:18:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,TITAN}",0.0188595145044852,0x60CB4C8FE973253CF39FB99BFBAFF2BD3C39481C87B7B78E2358F4A87BB51653,0x8FD4CF677036476B21224ED888495309638A9686DE2D4893F5C6B3FAD911D8C0,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xB20D60762B385F1D6F2A11DA2433B520A1F7C238AC6692841814F70E0D21A6AE597CEC2FA1DD393688AF3D2FC16C22B0,0x8741FB04B7D8F5A01E0EC1D454602BC08BDB0C8C,30000000,7889483
10495908,21284390,2024-11-28 06:21:59.000000 +00:00,Titan,"{BLOXROUTE_REGULATED,TITAN}",0.030876710514795,0xFD4CD5B70E876F45F6CE501E3994CF85B79882A64F91074096F5A78664B16B7A,0x3E85D02517A55BAD39A2E06DBFF6DF797894C386DE9A6872CD86DD779BBF82D9,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0x802DD5A65AF1DB7583FCA8436332CF6FA88D2D68763169AC16E0D069E95D92EDD9B1AE970AE17C2CCAD6AB219960923A,0x3C3EDD7ECD0B58472CDBE3C742827799B3CF92B6,30000000,11509278
10495930,21284411,2024-11-28 06:26:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0237526472278158,0x397D5D125AEBEC8646CDA8CB985591C090AC8A2767A8674E5C1AA590EDC85324,0xCE29D6A40A2D5339ED402166102C1B59DE308CA93875D7F94E8CD551CCAE57ED,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x8D3149E0D14C3984E96448D293E8978B45C86560CEDAC8E66C93B9D352AB12223A5023E64AF46C471F7AFA0E77C3EAC1,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,17044466
10495968,21284448,2024-11-28 06:33:59.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,TITAN}",0.0327707732219875,0x2C0710EE108321D547F86BD013EDE189F6A1A58B7DA65494C2FB4B9D7B80EE95,0x16DA7DE7D865FCA1D903B756E12EA8ABB40B401EC921FBFD6A0119D5C0572452,0x88857150299287CEDFBADEA1EE3FB7AC121F1E4E16BEF44B4A7BAD35432973C4009EFB90394FACCA3FDC0759BA70F93F,0x8502A42B4546AB223C7A0273D6B2067F218D93267ED73B87B94B0A7B8C269103F6920DB2F973E658A4BE6330B37E1D22,0x235EE805F962690254E9A440E01574376136ECB1,30000000,29984583
10495996,21284475,2024-11-28 06:39:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0138276467573249,0x77B3F0D488F54FE15551B48367218AEC746A8D76597DC2145B355114E6A2894F,0x0AABD16D6B03E9585E1EC0DDDD0D9C7C2C517EE257D10066118A4D4FE9F74E3D,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xA634E9CBBC7845867A8A71EBF48F7404042F22EED45C2196A20E9A20894F355670A291615BE9BD397D6C1B556A18BE20,0xA27CEF8AF2B6575903B676E5644657FAE96F491F,30000000,15414464
10495999,21284477,2024-11-28 06:40:11.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,TITAN}",0.0784313348514147,0x8CE34B22EC5FD3E82DA946DFC2FFE91C11D8FF3B6D3DA76BFF12B342C3C7CBF5,0xC6D4208D5DD47ED6F98AB392CCB11F1D62AB91C9A3B794AFCD2D63019E4D2534,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xA4DD83C992AE7C449CC681FA1CC855F6C5D03EA0399B37D5526493E7B57498789640FE5FE160911C653EA36B113760C8,0x4675C7E5BAAFBFFBCA748158BECBA61EF3B0A263,30000000,29464702
10496004,21284481,2024-11-28 06:41:11.000000 +00:00,Titan,"{BLOXROUTE_REGULATED,TITAN}",0.0308104063172449,0x4265F563FC1F54DF1FA0590C9055F9FDD661E802D06D9850F01FAED78B4AB56E,0x7611B5CF253C73CD8590AE7EFF6E6B76F36230E76568040BED42091D27512B2F,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x91820F5FE5231719EF6E5C287BE268379705B52B8F53C5C95AB12604EBA903CB5C100088FB2ECC37D264DE0156F986EF,0x7E2A2FA2A064F693F0A55C5639476D913FF12D05,30000000,16767761
10496006,21284482,2024-11-28 06:41:35.000000 +00:00,Titan,{TITAN},0.021255480312654,0x44D63FB1633B8AD80398782B213E14F9557E873FD10DF85C749AA7A243EB092E,0x049E2CF3FB99749B6C5E1E5BF4AFB68197EF73D7E272372D833CE2616C6B0B75,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0xA6AAA1DBA44BFC23BA683F17BC5B8BD6EE6756D027806AA65716194A967421F6C8893965597E74A52CA7A6D487E4DD4C,0x518489F9ED41FC35BCD23407C484F31897067FF0,30000000,17037721
10496021,21284496,2024-11-28 06:44:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.0240545744963766,0x1EC20C2BF0456482FF87626393C6784794DB1CD2C34C6B5B3FBA48814256D51E,0x5F7C0649FA8D1C259244F86D5FF0D16A04B510EB950ABB44B15D21CAB6FBED52,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0xA9F7BB2A0AFE82748AAF9E589EF1B8BF35351FC5DBD89CDC0B910D496A3073E6767333D8A395B01D77E11885CCD94850,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,16699537
